tracking_id,class,source,first_seen,last_seen,time,status
87486,truck,License_Plate_Detection_Test_1080p.mp4,721,721,2026-04-06 01:39:47,active
90579,car,License_Plate_Detection_Test_1080p.mp4,742,742,2026-04-06 01:39:50,active
90602,truck,License_Plate_Detection_Test_1080p.mp4,742,742,2026-04-06 01:39:50,active
90617,truck,License_Plate_Detection_Test_1080p.mp4,742,742,2026-04-06 01:39:50,active
93346,truck,License_Plate_Detection_Test_1080p.mp4,756,756,2026-04-06 01:39:53,active
93364,car,License_Plate_Detection_Test_1080p.mp4,756,756,2026-04-06 01:39:53,active
94698,car,License_Plate_Detection_Test_1080p.mp4,763,763,2026-04-06 01:39:54,active
977,car,License_Plate_Detection_Test_1080p.mp4,798,798,2026-04-06 01:40:00,active
2309,person,License_Plate_Detection_Test_1080p.mp4,805,805,2026-04-06 01:40:02,active
3664,car,License_Plate_Detection_Test_1080p.mp4,812,812,2026-04-06 01:40:03,active
3692,car,License_Plate_Detection_Test_1080p.mp4,812,812,2026-04-06 01:40:03,active
5260,car,License_Plate_Detection_Test_1080p.mp4,819,819,2026-04-06 01:40:05,active
9109,car,License_Plate_Detection_Test_1080p.mp4,840,840,2026-04-06 01:40:09,active
11612,car,License_Plate_Detection_Test_1080p.mp4,854,854,2026-04-06 01:40:11,active
14107,car,License_Plate_Detection_Test_1080p.mp4,868,868,2026-04-06 01:40:14,active
15402,person,License_Plate_Detection_Test_1080p.mp4,875,875,2026-04-06 01:40:15,active
16591,car,License_Plate_Detection_Test_1080p.mp4,882,882,2026-04-06 01:40:16,active
17902,car,License_Plate_Detection_Test_1080p.mp4,889,889,2026-04-06 01:40:17,active
19090,car,License_Plate_Detection_Test_1080p.mp4,896,896,2026-04-06 01:40:19,active
20511,car,License_Plate_Detection_Test_1080p.mp4,903,903,2026-04-06 01:40:20,active
23659,car,License_Plate_Detection_Test_1080p.mp4,917,917,2026-04-06 01:40:23,active
26460,person,License_Plate_Detection_Test_1080p.mp4,931,931,2026-04-06 01:40:26,active
27900,car,License_Plate_Detection_Test_1080p.mp4,938,938,2026-04-06 01:40:27,active
29455,car,License_Plate_Detection_Test_1080p.mp4,945,945,2026-04-06 01:40:29,active
29481,truck,License_Plate_Detection_Test_1080p.mp4,945,945,2026-04-06 01:40:29,active
32338,car,License_Plate_Detection_Test_1080p.mp4,959,959,2026-04-06 01:40:32,active
